rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0031.jpg,12.4,0.7997,0.7993,0.6667,1.0,10,6,False,True
2,frame_0291.jpg,116.4,0.7974,0.8588,0.6667,0.84,9,6,False,True
3,frame_0068.jpg,27.2,0.7833,0.6332,0.8889,1.0,9,8,False,True
4,frame_0030.jpg,12.0,0.7811,0.7622,0.6667,1.0,8,6,False,False
5,frame_0079.jpg,31.6,0.7673,0.8146,0.6667,0.8,10,6,False,True
6,frame_0002.jpg,0.8,0.7667,0.7334,0.6667,1.0,9,6,False,True
7,frame_0133.jpg,53.2,0.7561,0.7122,0.6667,1.0,9,6,False,True
8,frame_0074.jpg,29.6,0.751,0.8354,0.4444,1.0,8,4,False,True
9,frame_0077.jpg,30.8,0.7457,0.8727,0.4444,0.88,9,4,False,False
10,frame_0128.jpg,51.2,0.7402,0.8111,0.5556,0.84,8,5,False,True
11,frame_0003.jpg,1.2,0.7273,0.7212,0.5556,1.0,7,5,False,False
12,frame_0067.jpg,26.8,0.727,0.7207,0.5556,1.0,11,5,False,False
13,frame_0073.jpg,29.2,0.7237,0.7808,0.4444,1.0,7,4,False,False
14,frame_0001.jpg,0.4,0.7217,0.7768,0.4444,1.0,10,4,False,False
15,frame_0016.jpg,6.4,0.7217,0.7767,0.4444,1.0,7,4,False,True
16,frame_0186.jpg,74.4,0.7159,0.8159,1.0,0.04,11,9,False,True
17,frame_0005.jpg,2.0,0.708,0.616,0.6667,1.0,7,6,False,False
18,frame_0000.jpg,0.0,0.7051,0.8102,0.3333,1.0,10,3,False,False
19,frame_0378.jpg,151.2,0.7019,0.9051,0.7778,0.08,10,7,False,True
20,frame_0070.jpg,28.0,0.7009,0.8019,0.3333,1.0,6,3,False,False
21,frame_0069.jpg,27.6,0.6987,0.7307,0.4444,1.0,10,4,False,False
22,frame_0033.jpg,13.2,0.6929,0.6525,0.5556,1.0,8,5,False,False
23,frame_0292.jpg,116.8,0.688,0.856,0.3333,0.8,8,3,False,False
24,frame_0075.jpg,30.0,0.6854,0.6534,0.5556,0.96,8,5,False,False
25,frame_0078.jpg,31.2,0.6852,0.6344,0.6667,0.84,10,6,False,False
26,frame_0021.jpg,8.4,0.682,0.6974,0.4444,1.0,9,4,False,True
27,frame_0117.jpg,46.8,0.6819,0.7371,0.7778,0.4,11,7,False,False
28,frame_0388.jpg,155.2,0.6701,0.8096,0.7778,0.16,10,7,False,False
29,frame_0377.jpg,150.8,0.6678,0.7543,0.8889,0.12,12,8,False,False
30,frame_0293.jpg,117.2,0.6664,0.7622,0.4444,0.76,7,4,False,False
31,frame_0231.jpg,92.4,0.6653,0.7332,0.8889,0.16,10,8,False,False
32,frame_0395.jpg,158.0,0.6638,0.8796,0.6667,0.12,8,6,False,False
33,frame_0132.jpg,52.8,0.6623,0.5912,0.5556,1.0,9,5,False,False
34,frame_0321.jpg,128.4,0.6609,0.7085,0.8889,0.2,8,8,False,False
35,frame_0026.jpg,10.4,0.6565,0.713,0.3333,1.0,6,3,False,False
36,frame_0080.jpg,32.0,0.655,0.7393,0.4444,0.76,8,4,False,False
37,frame_0014.jpg,5.6,0.6542,0.5751,0.5556,1.0,6,5,False,False
38,frame_0126.jpg,50.4,0.6464,0.7888,0.3333,0.76,8,3,False,False
39,frame_0277.jpg,110.8,0.646,0.7799,0.6667,0.28,8,6,False,False
40,frame_0294.jpg,117.6,0.6452,0.8024,0.3333,0.72,6,3,False,False
41,frame_0278.jpg,111.2,0.6448,0.8282,0.5556,0.32,8,5,False,False
42,frame_0071.jpg,28.4,0.6446,0.7558,0.2222,1.0,9,2,False,False
43,frame_0368.jpg,147.2,0.6439,0.8718,0.6667,0.04,10,6,False,False
44,frame_0276.jpg,110.4,0.6401,0.8508,0.5556,0.24,11,5,False,False
45,frame_0089.jpg,35.6,0.6398,0.853,0.4444,0.4,10,4,False,False
46,frame_0072.jpg,28.8,0.6397,0.6128,0.4444,1.0,9,4,False,False
47,frame_0015.jpg,6.0,0.6393,0.6786,0.3333,1.0,7,3,False,False
48,frame_0004.jpg,1.6,0.6384,0.7435,0.2222,1.0,7,2,False,False
49,frame_0116.jpg,46.4,0.6383,0.7992,0.5556,0.36,10,5,False,False
50,frame_0328.jpg,131.2,0.6372,0.8423,0.6667,0.08,12,6,False,False
51,frame_0191.jpg,76.4,0.6346,0.8718,0.5556,0.16,8,5,False,False
52,frame_0284.jpg,113.6,0.6343,0.7779,0.4444,0.56,7,4,False,False
53,frame_0032.jpg,12.8,0.6339,0.5345,0.5556,1.0,9,5,False,False
54,frame_0299.jpg,119.6,0.6333,0.6585,0.6667,0.52,8,6,False,False
55,frame_0287.jpg,114.8,0.6328,0.6603,0.5556,0.68,8,5,False,False
56,frame_0113.jpg,45.2,0.6327,0.7694,0.6667,0.24,7,6,False,False
57,frame_0279.jpg,111.6,0.63,0.8494,0.4444,0.36,6,4,False,False
58,frame_0127.jpg,50.8,0.6279,0.6692,0.4444,0.8,9,4,False,False
59,frame_0285.jpg,114.0,0.6267,0.7468,0.4444,0.6,6,4,False,False
60,frame_0317.jpg,126.8,0.6258,0.8382,0.5556,0.2,11,5,False,False
61,frame_0320.jpg,128.0,0.6256,0.6886,0.7778,0.24,9,7,False,False
62,frame_0274.jpg,109.6,0.6253,0.7866,0.6667,0.16,9,6,False,False
63,frame_0024.jpg,9.6,0.6248,0.5163,0.5556,1.0,8,5,False,False
64,frame_0081.jpg,32.4,0.6243,0.7606,0.3333,0.72,9,3,False,False
65,frame_0386.jpg,154.4,0.6219,0.8144,0.5556,0.24,10,5,False,False
66,frame_0194.jpg,77.6,0.6211,0.7302,0.6667,0.28,9,6,False,False
67,frame_0230.jpg,92.0,0.6195,0.791,0.6667,0.12,12,6,False,False
68,frame_0167.jpg,66.8,0.6191,0.7982,0.3333,0.6,6,3,False,False
69,frame_0131.jpg,52.4,0.6168,0.583,0.4444,0.96,6,4,False,False
70,frame_0301.jpg,120.4,0.6164,0.7902,0.4444,0.44,10,4,False,False
71,frame_0288.jpg,115.2,0.6157,0.7434,0.3333,0.72,9,3,False,False
72,frame_0076.jpg,30.4,0.6146,0.5946,0.4444,0.92,8,4,False,False
73,frame_0367.jpg,146.8,0.614,0.9294,0.4444,0.08,9,4,False,False
74,frame_0207.jpg,82.8,0.6135,0.6404,0.4444,0.8,5,4,False,False
75,frame_0192.jpg,76.8,0.6134,0.7467,0.6667,0.2,9,6,False,False
76,frame_0172.jpg,68.8,0.6107,0.728,0.5556,0.4,7,5,False,False
77,frame_0120.jpg,48.0,0.6106,0.7466,0.4444,0.52,6,4,False,False
78,frame_0082.jpg,32.8,0.6089,0.6124,0.5556,0.68,7,5,False,False
79,frame_0300.jpg,120.0,0.6081,0.6908,0.5556,0.48,9,5,False,False
80,frame_0029.jpg,11.6,0.6058,0.545,0.4444,1.0,9,4,False,False
81,frame_0179.jpg,71.6,0.6046,0.6945,0.7778,0.12,10,7,False,False
82,frame_0185.jpg,74.0,0.6044,0.7768,0.6667,0.08,9,6,False,False
83,frame_0316.jpg,126.4,0.6037,0.81,0.5556,0.16,10,5,False,False
84,frame_0389.jpg,155.6,0.6022,0.7563,0.6667,0.12,11,6,False,False
85,frame_0028.jpg,11.2,0.602,0.5373,0.4444,1.0,6,4,False,False
86,frame_0396.jpg,158.4,0.6016,0.8726,0.4444,0.16,9,4,False,False
87,frame_0325.jpg,130.0,0.6006,0.7851,0.6667,0.04,11,6,False,False
88,frame_0379.jpg,151.6,0.6003,0.7179,0.7778,0.04,9,7,False,False
89,frame_0027.jpg,10.8,0.5991,0.5315,0.4444,1.0,6,4,False,False
90,frame_0398.jpg,159.2,0.5987,0.7014,0.6667,0.24,10,6,False,False
91,frame_0208.jpg,83.2,0.5985,0.5596,0.5556,0.76,7,5,False,False
92,frame_0118.jpg,47.2,0.5962,0.6831,0.5556,0.44,11,5,False,False
93,frame_0013.jpg,5.2,0.5948,0.5896,0.3333,1.0,4,3,False,False
94,frame_0391.jpg,156.4,0.5935,0.7043,0.7778,0.04,13,7,False,False
